Anime Name,Condition,Views,Latest Episode
Chainsaw Man,0,6641739.0,12.0
One Piece,1,400767198.0,1054.0
SPY x FAMILY,0,5752053.0,12.0
Attack on Titan Final Season,0,16544016.0,16.0
Black Clover,0,92301785.0,170.0
Demon Slayer: Entertainment District Arc,0,11310513.0,11.0
Campfire Cooking in Another World with my Absurd Skill,1,1176984.0,11.0
SPY x FAMILY Cour 2,0,2914902.0,13.0
Sorcery Fight,0,26404402.0,24.0
Vinland Saga Season 2,1,926657.0,11.0
Tokyo Revengers,0,8558387.0,24.0
Bocchi the Rock!,0,1037822.0,12.0
Attack on Titan Final Season Part 2,1,8408967.0,12.0
BLUELOCK,1,2944857.0,23.0
Mushoku Tensei: Jobless Reincarnation Part 2,0,4794298.0,12.0
Komi Can’t Communicate,0,3028940.0,12.0
Mob Psycho 100 III,0,1581466.0,12.0
My Hero Academia Season 6,1,5630665.0,24.0
"Don't Toy With Me, Miss Nagatoro",0,3281011.0,12.0
My Hero Academia Season 5,0,12398684.0,25.0
Kaguya-sama: Love is War Season 3,0,1680136.0,13.0
Lycoris Recoil,0,1077831.0,13.0
Ranking of Kings,0,4279408.0,23.0
Classroom of the Elite II,0,2440865.0,13.0
Shikimori's Not Just a Cutie,0,1235717.0,12.0
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",0,2680827.0,13.0
Komi Can't Communicate Season 2,0,1333114.0,12.0
Call of the Night,0,1826175.0,13.0
Ikebukuro West Gate Park,0,861639.0,12.0
Fruits Basket: The Final Season,0,1189634.0,13.0
Sleepy Princess in the Demon Castle,0,1447279.0,12.0
The Journey of Elaina,0,1716849.0,12.0
The Angel Next Door Spoils Me Rotten,1,680884.0,11.0
To Your Eternity,0,3067151.0,20.0
The God of High School,0,7663694.0,13.0
Is It Wrong to Try to Pick Up Girls in a Dungeon? III,0,5288125.0,12.0
Reborn to Master the Blade: From Hero-King to Extraordinary Squire,1,970343.0,11.0
HAIKYU‼ TO THE TOP Part 2,0,7588979.0,12.0
The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants,0,10980697.0,13.0
Re:ZERO -Starting Life in Another World- Season 2,0,7161998.0,38.0
BLEACH: Thousand-Year Blood War,0,4133911.0,13.0
Tomo-chan is a Girl!,1,759222.0,12.0
Fire Force Season 2,0,9392158.0,24.0
Overlord IV,0,4082728.0,13.0
The Rising of the Shield Hero Season 2,0,3243918.0,13.0
takt op.Destiny,0,1044149.0,12.0
Rent-a-Girlfriend,0,5901808.0,12.0
