Anime Name,Condition,Views,Latest Episode
Chainsaw Man,Completed,"6,641,739","012
"
One Piece,Ongoing,"400,767,198","1054
"
SPY x FAMILY,Completed,"5,752,053","012
"
Attack on Titan Final Season,Completed,"16,544,016","016
"
Black Clover,Completed,"92,301,785","170
"
Demon Slayer: Entertainment District Arc,Completed,"11,310,513","011
"
Campfire Cooking in Another World with my Absurd Skill,Ongoing,"1,176,984","011
"
SPY x FAMILY Cour 2,Completed,"2,914,902","013
"
Sorcery Fight,Completed,"26,404,402","024
"
Vinland Saga Season 2,Ongoing,"926,657","011
"
Tokyo Revengers,Completed,"8,558,387","024
"
Bocchi the Rock!,Completed,"1,037,822","012
"
Attack on Titan Final Season Part 2,Ongoing,"8,408,967","012
"
BLUELOCK,Ongoing,"2,944,857","023
"
Mushoku Tensei: Jobless Reincarnation Part 2,Completed,"4,794,298","012
"
Komi Can’t Communicate,Completed,"3,028,940","012
"
Mob Psycho 100 III,Completed,"1,581,466","012
"
My Hero Academia Season 6,Ongoing,"5,630,665","024
"
"Don't Toy With Me, Miss Nagatoro",Completed,"3,281,011","012
"
My Hero Academia Season 5,Completed,"12,398,684","025
"
Kaguya-sama: Love is War Season 3,Completed,"1,680,136","013
"
Lycoris Recoil,Completed,"1,077,831","013
"
Ranking of Kings,Completed,"4,279,408","023
"
Classroom of the Elite II,Completed,"2,440,865","013
"
Shikimori's Not Just a Cutie,Completed,"1,235,717","012
"
TONIKAWA: Over The Moon For You,Completed,"4,293,681","012.5
"
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",Completed,"2,680,827","013
"
Komi Can't Communicate Season 2,Completed,"1,333,114","012
"
Call of the Night,Completed,"1,826,175","013
"
Ikebukuro West Gate Park,Completed,"861,639","012
"
Fruits Basket: The Final Season,Completed,"1,189,634","013
"
Sleepy Princess in the Demon Castle,Completed,"1,447,279","012
"
The Journey of Elaina,Completed,"1,716,849","012
"
The Angel Next Door Spoils Me Rotten,Ongoing,"680,884","011
"
To Your Eternity,Completed,"3,067,151","020
"
The God of High School,Completed,"7,663,694","013
"
Is It Wrong to Try to Pick Up Girls in a Dungeon? III,Completed,"5,288,125","012
"
Reborn to Master the Blade: From Hero-King to Extraordinary Squire,Ongoing,"970,343","011
"
HAIKYU‼ TO THE TOP Part 2,Completed,"7,588,979","012
"
The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants,Completed,"10,980,697","013
"
Re:ZERO -Starting Life in Another World- Season 2,Completed,"7,161,998","038
"
BLEACH: Thousand-Year Blood War,Completed,"4,133,911","013
"
Tomo-chan is a Girl!,Ongoing,"759,222","012
"
Fire Force Season 2,Completed,"9,392,158","024
"
Overlord IV,Completed,"4,082,728","013
"
The Rising of the Shield Hero Season 2,Completed,"3,243,918","013
"
takt op.Destiny,Completed,"1,044,149","012
"
Rent-a-Girlfriend,Completed,"5,901,808","012
"
Osamake: Romcom Where The Childhood Friend Won't Lose,Completed,"1,121,665","012
"
The Case Study of Vanitas,Completed,"1,679,685","012
"
Rent-a-Girlfriend Season 2,Completed,"920,031","012
"
Buddy Daddies,Ongoing,"537,494","010
"
Akudama Drive,Completed,"2,048,929","Version)
"
Mieruko-chan,Completed,"1,581,807","012
"
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Completed,"4,628,365","012
"
The Detective is Already Dead,Completed,"1,109,014","012
"
The Day I Became a God,Completed,"1,939,226","012
"
That Time I Got Reincarnated as a Slime Season 2 Part 2,Completed,"6,984,953","012
"
Summer Time Render,Completed,"1,789,462","025
"
"More than a married couple, but not lovers.",Completed,"638,426","012
"
The Reincarnation of the Strongest Exorcist in Another World,Ongoing,"1,548,950","011
"
Talentless Nana,Completed,"1,795,058","013
"
Miss Kobayashi's Dragon Maid S,Completed,"2,100,176","012
"
My Teen Romantic Comedy SNAFU Climax!,Completed,"3,496,213","012
"
The Genius Prince's Guide to Raising a Nation Out of Debt,Completed,"1,572,228","012
"
86: Eighty Six Part 2,Completed,"1,399,928","012
"
Idaten Deities in the Peaceful Generation,Completed,"765,892","011
"
Tokyo Revengers Season 2,Ongoing,"1,193,093","011
"
Remake our Life!,Completed,"830,303","012
"
Sword Art Online: Alicization - War of Underworld Part 2,Completed,"6,539,294","011
"
Life Lessons with Uramichi Oniisan,Completed,"580,261","013
"
Adachi and Shimamura,Completed,"681,176","012
"
Digimon Adventure (2020),Completed,"1,918,300","067
"
"Don't Toy With Me, Miss Nagatoro 2nd Attack",Ongoing,"464,107","012
"
I've Been Killing Slimes for 300 Years and Maxed Out My Level,Completed,"1,776,140","012
"
The Millionaire Detective - Balance: UNLIMITED,Completed,"2,178,004","011
"
Parallel World Pharmacy,Completed,"1,348,255","012
"
The Devil is a Part-Timer! Season 2,Completed,"1,227,397","012
"
Made in Abyss: The Golden City of the Scorching Sun,Completed,"1,350,309","012
"
Ya Boy Kongming!,Completed,"750,636","012
"
Aoashi,Ongoing,"1,340,821","024
"
Farming Life in Another World,Ongoing,"1,450,119","011
"
Moriarty the Patriot 2,Completed,"543,726","024
"
To Your Eternity Season 2,Ongoing,"735,372","020
"
My Stepsister is My Ex-Girlfriend,Completed,"986,816","012
"
Reincarnated as a Sword,Completed,"2,325,194","012
"
The Faraway Paladin,Completed,"2,121,607","012
"
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,Ongoing,"742,902","012
"
The Irregular at Magic High School: Visitor Arc,Completed,"4,829,152","013
"
Love After World Domination,Completed,"467,593","012
"
Date A Live IV,Completed,"473,484","012
"
The Greatest Demon Lord Is Reborn as a Typical Nobody,Completed,"1,433,908","012
"
Harem in the Labyrinth of Another World,Completed,"2,446,194","[Uncensored]
"
"Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside",Completed,"3,096,326","013
"
Aharen Is Indecipherable,Completed,"593,638","012
"
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,Completed,"2,136,369","011
"
The Ice Guy and His Cool Female Colleague,Ongoing,"313,236","012
"
Shinobi no Ittoki,Completed,"852,846","012
"
DECA-DENCE,Completed,"1,798,704","012
"
"Even so, Ayumu draws closer to the endgame",Completed,"262,149","012
"
How a Realist Hero Rebuilt the Kingdom Part 2,Completed,"2,076,011","026
"
ONIMAI: I'm Now Your Sister!,Ongoing,"392,374","[Uncensored]
"
Do It Yourself!!,Completed,"169,416","012
"
Handyman Saitou in Another World,Ongoing,"881,434","011
"
Blue Period,Completed,"706,432","012
"
"So I'm a Spider, So What?",Completed,"5,566,626","024
"
A Couple of Cuckoos,Completed,"992,656","024
"
I’m Quitting Heroing,Completed,"2,181,483","012
"
SHADOWS HOUSE,Completed,"560,816","013
"
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,Ongoing,"1,361,037","011
"
Moriarty the Patriot,Completed,"1,316,817","011
"
HIGH CARD,Ongoing,"251,819","011
"
ODD TAXI,Completed,"687,527","013
"
She is also my Girlfriend,Completed,"902,064","012
"
World's End Harem,Completed,"2,202,873","011
"
How a Realist Hero Rebuilt the Kingdom,Completed,"3,705,827","013
"
Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,Completed,"2,059,153","012
"
Sasaki to Miyano,Completed,"634,752","012
"
Akebi’s Sailor Uniform,Completed,"272,066","012
"
The Dawn of the Witch,Completed,"557,500","012
"
Battle Game in 5 Seconds,Completed,"945,384","012
"
Love Flops,Completed,"440,114","012
"
Sonny Boy,Completed,"466,963","012
"
Vermeil in Gold,Completed,"1,360,246","012
"
Fruits Basket Season 2,Completed,"3,170,412","025
"
Peach Boy Riverside,Completed,"1,167,255","012
"
"I'm standing on 1,000,000 lives.",Completed,"3,704,402","012
"
Uzaki-chan Wants to Hang Out!,Completed,"3,930,981","012
"
In/Spectre Season 2,Ongoing,"214,978","011
"
Akiba Maid War,Completed,"337,748","012
"
Beast Tamer,Completed,"1,356,802","013
"
Mother of the Goddess' Dormitory,Completed,"958,215","010
"
Golden Kamuy 3,Completed,"864,011","012
"
Aggretsuko: Season 3,Completed,"128,891","010
"
Boruto: Naruto Next Generations,Ongoing,"162,491,647","292
"
Bungo Stray Dogs Season 4,Ongoing,"399,263","012
"
Urusei Yatsura (2022),Ongoing,"527,366","022
"
Aquatope of White Sand,Completed,"351,632","024
"
Skeleton Knight in Another World,Completed,"2,145,280","012
"
Welcome to Demon School! Iruma-kun Season 2,Completed,"3,084,114","021
"
TRIGUN STAMPEDE,Ongoing,"389,859","011
"
Welcome to Demon School! Iruma-kun Season 3,Ongoing,"1,094,558","021
"
The Yakuza's Guide to Babysitting,Completed,"541,090","012
"
My Next Life as a Villainess: All Routes Lead to Doom! X,Completed,"908,478","012
"
Noblesse,Completed,"3,915,597","013
"
TSUKIMICHI -Moonlit Fantasy-,Completed,"3,639,320","012
"
Ningen Fushin: Adventurers Who Don’t Believe in Humanity Will Save the World,Ongoing,"988,270","012
"
Great Pretender,Completed,"1,342,374","023
"
Our Last Crusade or the Rise of a New World,Completed,"3,727,706","012
"
RWBY: Ice Queendom,Completed,"334,872","012
"
Chillin’ in My 30s after Getting Fired from the Demon King’s Army,Ongoing,"1,011,831","011
"
Ascendance of a Bookworm Season 3,Completed,"583,777","036
"
The Vampire Dies in No Time,Completed,"310,968","012
"
NieR:Automata Ver 1.1a,Ongoing,"291,467","008
"
Engage Kiss,Completed,"801,703","013
"
Food Wars! The Fifth Plate,Completed,"4,852,614","013
"
Spy Classroom,Ongoing,"283,886","010
"
Spirit Chronicles,Completed,"2,651,402","012
"
Higurashi: When They Cry - New,Completed,"1,812,542","024
"
The Executioner and Her Way of Life,Completed,"650,549","012
"
Pretty Boy Detective Club,Completed,"185,016","012
"
Shadows House 2nd Season,Completed,"167,268","012
"
The Fruit of Evolution: Before I Knew It My Life Had It Made,Completed,"1,889,227","012
"
Monster Girl Doctor,Completed,"2,276,433","012
"
The Heike Story,Completed,"194,507","011
"
Malevolent Spirits: Mononogatari,Ongoing,"192,795","011
"
Love Live! Perfect Dream Project,Completed,"358,929","013
"
Berserk: The Golden Age Arc - Memorial Edition,Completed,"243,095","013
"
The Iceblade Sorcerer Shall Rule the World,Ongoing,"1,104,152","011
"
Black Summoner,Completed,"2,022,058","012
"
I'm the Villainess so I'm Taming the Final Boss,Completed,"673,295","012
"
The Dungeon of Black Company,Completed,"1,157,742","012
"
In the Land of Leadale,Completed,"1,174,603","012
"
By the Grace of the Gods Season 2,Ongoing,"680,664","011
"
Hang On! Climbing Girls,Completed,"414,642","012
"
By the Grace of the Gods,Completed,"3,830,496","012
"
Yashahime: Princess Half-Demon,Completed,"1,305,883","024
"
The Bears Bear a Bare Kuma,Completed,"1,383,429","012
"
Platinum End,Completed,"1,575,842","024
"
My Isekai Life: I Gained a Second Class and Became the Strongest Sage in the World!,Completed,"2,239,488","012
"
MARS RED,Completed,"463,083","013
"
Princess Connect! Re:Dive Season 2,Completed,"351,536","012
"
"The Fruit of Evolution 2: Before I Knew It, My Life Had It Made",Ongoing,"555,304","010
"
"Play it Cool, Guys",Ongoing,"221,236","023
"
Sugar Apple Fairy Tale,Ongoing,"190,709","011
"
Opera Girl!!,Completed,"177,433","013
"
The Strongest Sage with the Weakest Crest,Completed,"2,206,128","012
"
The Duke of Death and His Black Maid,Completed,"696,671","012
"
Fena: Pirate Princess,Completed,"717,462","012
"
She Professed Herself Pupil of the Wise Man,Completed,"862,934","012
"
Taisho Otome Fairy Tale,Completed,"340,529","012
"
Senpai is Mine,Completed,"400,676","012
"
Assault Lily,Completed,"575,863","012
"
Slow Loop,Completed,"160,674","012
"
LINK CLICK,Completed,"645,547","011
"
The Vampire Dies in No Time Season 2,Ongoing,"72,442","011
"
YUREI DECO,Completed,"40,434","012
"
One Room 3,Completed,"222,314","012
"
UNCLE FROM ANOTHER WORLD,Completed,"1,558,885","013
"
Detective Conan,Ongoing,"100,410,828","1077
"
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2",Ongoing,"806,691","009
"
The Great Jahy Will Not Be Defeated!,Completed,"688,733","020
"
MEGALOBOX 2: NOMAD,Completed,"695,215","013
"
"Science Fell in Love, So I Tried to Prove It Season 2",Completed,"211,432","012
"
The Maid I Recently Hired is Mysterious,Completed,"345,515","011
"
I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,Completed,"1,491,423","012
"
Cheat Pharmacist's Slow Life: Making a Drugstore in Another World,Completed,"690,535","012
"
SAKUGAN,Completed,"295,701","012
"
"Saving 80,000 Gold in Another World for My Retirement",Ongoing,"454,326","011
"
Dance Dance Danseur,Completed,"116,140","011
"
The Demon Girl Next Door Season 2,Completed,"190,792","012
"
SUPER HXEROS,Completed,"2,163,070","012
"
Ryman's Club,Completed,"179,027","012
"
Hypnosis Mic: Division Rap Battle - Rhyme Anima,Completed,"375,070","013
"
The Night Beyond the Tricornered Window,Completed,"226,656","012
"
Is the Order a Rabbit? BLOOM,Completed,"321,085","012
"
Kiyo in Kyoto: From the Maiko House,Completed,"108,363","012
"
"I, Tsushima",Ongoing,"76,908","018
"
Morfonication,Completed,"15,624","002
"
The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants Season 2,Ongoing,"952,650","006
"
