Anime Name,Condition,Views,Latest_Episode,Image_src,Link,Summary
Chainsaw Man,Completed,"6,641,739",012,https://static.anmedm.com/media/imagesv2/2022/11/Chainsaw-Man.jpg,https://kissanime.com.ru/Anime/chainsaw-man.68802/,Denji is a teenage boy living with a Chainsaw Devil named Pochita. Due to t...
One Piece,Ongoing,"400,767,198",1054,https://static.anmedm.com/media/imagesv2/2022/10/nx21-tXMN3Y20PIL9.jpg,https://kissanime.com.ru/Anime/One-Piece.54191/,"Gol D. Roger was known as the Pirate King, the strongest and most infamous ..."
SPY x FAMILY,Completed,"5,752,053",012,https://static.anmedm.com/media/imagesv2/2022/03/SPY-x-FAMILY.jpg,https://kissanime.com.ru/Anime/spy-x-family.22464/,Everyone has a part of themselves they cannot show to anyone else.  At a ti...
Attack on Titan Final Season,Completed,"16,544,016",016,https://static.anmedm.com/media/imagesv2/2020/12/Attack-on-Titan-Final-Season.jpg,https://kissanime.com.ru/Anime/shingeki-no-kyojin-the-final-season.13187/,"The final season of Shingeki no Kyojin.
It’s been four years since the Sco..."
Black Clover,Completed,"92,301,785",170,https://static.anmedm.com/media/imagesv2/2019/08/black-clover-tv92990.jpg,https://kissanime.com.ru/Anime/black-clover-tv.55270/,Asta and Yuno were abandoned together at the same church and have been inse...
Demon Slayer: Entertainment District Arc,Completed,"11,310,513",011,https://static.anmedm.com/media/imagesv2/2021/12/Demon-Slayer-Entertainment-District-Arc.jpg,https://kissanime.com.ru/Anime/demon-slayer-entertainment-district-arc.97257/,The devastation of the Mugen Train incident still weighs heavily on the mem...
Campfire Cooking in Another World with my Absurd Skill,Ongoing,"1,176,984",011,https://static.anmedm.com/media/imagesv2/2022/12/Campfire-Cooking-in-Another-World-with-my-Absurd-Skill.jpg,https://kissanime.com.ru/Anime/Campfire-Cooking-in-Another-World-with-my-Absurd-Skill/,"Mukoda Tsuyoshi, an ordinary salaryman, is suddenly transported to another ..."
SPY x FAMILY Cour 2,Completed,"2,914,902",013,https://static.anmedm.com/media/imagesv2/2022/10/bx142838-ECZSqfknAqAT.jpg,https://kissanime.com.ru/Anime/spy-x-family-cour-2.58391/,"With Anya Forger successfully enrolled at the renowned Eden Academy, Operat..."
Sorcery Fight,Completed,"26,404,402",024,https://static.anmedm.com/media/imagesv2/2020/08/Jujutsu-Kaisen-TV.jpg,https://kissanime.com.ru/Anime/Jujutsu-Kaisen-TV.37468/,"In a world where demons feed on unsuspecting humans, fragments of the legen..."
Vinland Saga Season 2,Ongoing,"926,657",011,https://static.anmedm.com/media/imagesv2/2022/11/Vinland-Saga-Season-2.jpg,https://kissanime.com.ru/Anime/Vinland-Saga-Season-2/,"The second season of Vinland Saga.
 
When Thorfinn loses it all, he must ..."
Tokyo Revengers,Completed,"8,558,387",024,https://static.anmedm.com/media/imagesv2/2021/04/Tokyo-Revengers.jpg,https://kissanime.com.ru/Anime/tokyo-revengers.45684/,Takemichi Hanagaki is a freelancer that's reached the absolute pits of desp...
Bocchi the Rock!,Completed,"1,037,822",012,https://static.anmedm.com/media/imagesv2/2022/09/Bocchi-the-Rock.jpg,https://kissanime.com.ru/Anime/Bocchi-the-Rock/,"Yearning to make friends and perform live with a band, lonely and socially ..."
